Url,Title,Authors,Sources,Dates
http://nsnbc.me/2013/12/14/un-syria-mission-confirms-rebels-possession-chemical-weapons/,The UN Syria Mission Confirms that Rebels Were in Possession of Chemical Weapons,Christof Lehmann,nsnbc,2013.12.14
http://nypost.com/2014/02/27/ukraine-government-buildings-seized-by-armed-men/,Armed men seize government buildings in Ukraine,<NONE>,New York Post AND Reuters,2014.02.27
http://osnetdaily.com/2014/02/breaking-russia-mobilizes-rapid-deployment-forces-to-ukraine-border/,BREAKING: Russia mobilizes rapid deployment forces to Ukraine border,<NONE>,Osnet daily,2014.02.24
http://patdollard.com/2014/02/ousted-ukraine-president-issues-defiant-statement-as-moscow-puts-jets-on-combat-alert/,Ousted Ukraine Dictator Issues Defiant Statement As Moscow Puts Jets on Combat Alert,Infidel Alie,pat dollar,2014.02.27
http://pittsburgh.cbslocal.com/2014/04/03/clergyman-charged-in-australia-faces-credible-allegations-from-time-at-north-catholic-hs/,Clergyman Charged In Australia Faces “Credible” Allegations From Time At North Catholic HS,Lynne Hayes-Freeland,Cbs pittsburgh AND cbs,2014.04.03
http://rt.com/news/un-syria-chemical-arms-171/,"UN: Chem arms used in Syria, links between attacks, victims, locations unclear",<NONE>,RT,2013.12.12
http://rt.com/usa/162968-us-republicans-prisoner-exchange/,"Republicans criticize US swap with Taliban, warn of ‘very dangerous’ precedent",<NONE>,RT,2014.06.02
http://www.organicconsumers.org/articles/article_30274.cfm,Lawsuit Challenges Vermont's GMO Labeling Law,Nancy Remsen,Organic consumers,2014.06.12
http://thegreenwashingblog.com/2011/02/17/chevron-greenwashing-we-agree/,Chevron Greenwashing? We Agree,Tom Schueneman,The green washing,2011.02.17
http://themoth.org/posts/stories/a-very-dangerous-person,A Very Dangerous Person,<NONE>,the moth,<NONE>
http://voiceofrussia.com/2014_03_02/Ukraine-total-mobilization-combat-alert-amid-Crimea-tensions-1246/,"Ukraine: total mobilization, combat alert amid Crimea tensions Read more: http://voiceofrussia.com/2014_03_02/Ukraine-total-mobilization-combat-alert-amid-Crimea-tensions-1246/",<NONE>,The Voice of russia,2014.03.02
http://voiceofrussia.com/2014_04_04/Russia-prepares-to-attack-the-petrodollar-2335/,Russia prepares to attack the petrodollar,Valentin Mândrăşescu,The Voice of russia,2014.04.04
http://voiceofrussia.com/news/2014_02_24/Legitimacy-of-many-of-Ukraines-governing-bodies-is-doubtful-there-is-no-one-to-deal-with-Medvedev-2196/,"Legitimacy of many of Ukraine's governing bodies is doubtful, there is no one to deal with - Medvedev ",<NONE>,The Voice of russia AND Inferfax,2014.02.24
http://weaponsman.com/?p=14144,Ukraine: the Empire Strikes Back,<NONE>,weaponsman,2014.02.27
http://www.euronews.com/2014/04/25/ukraine-launches-phase-two-of-anti-terrorist-operation/,Ukraine launches phase two of 'anti-terrorist' operation,,euronews,2014.04.25
http://world.time.com/2013/12/12/u-n-report-says-chemical-weapons-were-used-in-syria/,U.N. Report Says Chemical Weapons Were Used in Syria,David Winograd,Time,2013.12.12
http://www.reformer.com/opinion/ci_25733652/battle-over-gmo-labels-far-from-over,Our Opinion: The battle over GMO labels far from over,<NONE>,Brattleboro Reformer AND reformer,2014.05.10
http://www.wisconsingazette.com/green-gaze/grocery-manufacturers-lobby-seeks-to-block-gmo-labeling-law-in-vermont.html,Grocery Manufacturers lobby seeks to block GMO-labeling law in Vermont,<NONE>,WiG AND wisconsingazette,2014.06.13
http://www.aljazeera.com/news/europe/2014/03/putin-suggests-troops-deployment-ukraine-201431132515398667.html,Ukraine puts forces on full combat alert,<NONE>,aljazeera,2014.03.02
http://www.artsalive.ca/en/dan/mediatheque/videos/videosDetails.asp?mediaID=462,A Very Dangerous Pastime,<NONE>,artsalive,<NONE>
http://www.atlanticcouncil.org/en/blogs/menasource/top-news-new-un-report-concludes-chemical-arms-used-repeatedly-in-syria,Top News: New UN report concludes chemical arms used repeatedly in Syria ,MENASource,Atlantic council,2013.12.13
http://www.azlyrics.com/lyrics/donaldlawrence/weagree.html,DONALD LAWRENCE LYRICS,DONALD LAWRENCE,azlyrics,<NONE>
http://www.bbc.co.uk/news/world-middle-east-25810934,Destroying Syria's chemical weapons,Christine Jeavans,BBC,2014.02.27
http://www.bbc.co.uk/news/world-middle-east-27178999,Syria 'still holds chemical weapons' - OPCW head Kaag,<NONE>,BBC,2014.04.27
http://www.nydailynews.com/news/national/sarin-gas-syria-conflicts-u-n-report-article-1.1546804, Chemical weapons used heavily during Syria conflicts: U.N. report,<NONE>,Daily news,2013.12.13
http://www.bostonglobe.com/news/world/2014/02/28/armed-standoff-crimea-president-looks-russia/lXXwLG4jpzhAd2Zw0ekbYI/story.html,Grab for power in Crimea raises threat of split,Steven Lee Myers AND Andrew Higgins,bostonglobe,2014.02.28
http://www.bbc.com/news/world-europe-27035196,Ukraine says Donetsk 'anti-terror operation' under way,<NONE>,bbc,2014.04.15
http://www.businessinsider.com/ukraine-puts-forces-on-combat-alert-says-intervention-would-lead-to-war-2014-3,"Ukraine Puts Forces On Combat Alert, Says Intervention Would Lead To War",Pavel Polityuk,Businessinsider AND Reuters,2014.03.01
http://www.cbsnews.com/news/ukraine-puts-armed-forces-on-combat-alert-warns-of-war/,"Ukraine puts armed forces on combat alert, warns of war",<NONE>,CBS/Wire Services AND CBS news AND CBS,2014.03.01
http://www.cbsnews.com/videos/bowe-bergdahl-swap-sets-very-dangerous-precedent-says-gop-senator/,"Bowe Bergdahl swap sets ""very dangerous precedent,"" says GOP senator",<NONE>,Cbs news AND CBS,2014.06.03
http://www.cfr.org/syria/un-report-chemical-weapons-use-syria/p31404,UN Report on Chemical Weapons Use in Syria,<NONE>,council on foreign relations,2013.12.12
http://www.globalresearch.ca/syria-un-mission-report-confirms-that-opposition-rebels-used-chemical-weapons-against-civilians-and-government-forces/5363139,Syria: UN Mission Report Confirms that “Opposition” Rebels Used Chemical Weapons against Civilians and Government Forces,Carla Stea,Global research,2013.12.31
http://www.clarkrehab.com/MedFAQ.cfm,Coverage FAQ's,<NONE>,Clark Nursing & Rehabilitation Center AND clarkrehab,<NONE>
http://www.cnn.com/2013/12/12/world/meast/syria-civil-war/index.html,U.N. confirms use of chemical weapons in Syria,Ana Bickford AND Salma Abdelaziz AND Hala Gorani,CNN,2013.12.12
http://www.cnn.com/2014/02/27/politics/russia-ukraine-troop-movements/,"Russian troop movements near Ukraine raise concerns, U.S. official says",Barbara Starr,CNN,2014.02.27
http://www.voanews.com/content/ukraine-launches-antiterrorist-operation-in-slovyansk/1892309.html,Ukraine Launches 'Anti-Terrorist' Operation in Slovyansk,<NONE>,VOA AND Voice of America News AND voiceofamerica,2014.04.13
http://www.csgmidwest.org/policyresearch/0713navigators.aspx,States shape use of ‘navigators’ to help consumers with new health insurance exchanges,Kate Tormey,Csg midwest,2013.07.01
http://www.ctvnews.ca/world/un-inspectors-report-more-probable-chemical-weapons-attack-in-syria-1.1590646,UN inspectors report more probable chemical weapons attack in Syria,Edith M. Lederer,Ctv news,2013.12.13
http://www.philly.com/philly/health/healthcare-exchange/Poll_Most_Americans_say_health_law_has_not_affected_their_families.html,Poll: Most Americans say health law has not affected their families,Mary Agnes Carey,philly,2014.06.02
http://obamacarefacts.com/essential-health-benefits.php,ObamaCare Essential Health Benefits,<NONE>,Obamacare facts,<NONE>
http://www.drivebyplanet.com/2014/01/ghouta-sarin-attack-whodunnit-seymour.html,Ghouta sarin attack whodunnit: Seymour Hersh 'old media' methods criticized by Brown Moses,Jay Cables,Drive-by planet,2014.01.02
http://www.epa.gov/osw/hazard/wastemin/priority.htm,Priority Chemicals,<NONE>,epa.gov,2012.11.15
http://www.esquire.com/features/opening-essay/look-back-at-bush-0209,What the Hell Just Happened? A Look Back at the Last Eight Years,Tom Junod,esquire,2009.01.15
http://rt.com/news/un-ukraine-turchinov-operation-396/,Kiev urges UN to hold joint 'anti-terrorist operation' in eastern Ukraine,<NONE>,RT,2014.04.14
http://www.foreignpolicyi.org/content/fpi-fact-sheet-assad-holds-election-syria-crisis-worsens,"FPI Fact Sheet: As Assad Holds “Election,” Syria’s Crisis Worsens",Patrick Christy AND Robert Zarate,Foreign policy initiative AND foreignpolicyi,2014.06.03
